devtmpfs                   8077864         0   8077864  0%
tmpfs                      8091224     31260   8059964  1%
tmpfs                      8091224      2308   8088916  1%
tmpfs                      8091224         0   8091224  0%
/dev/mapper/fedora-root   51343840  21065212  27640804 44%
tmpfs                      8091224       212   8091012  1%
/dev/nvme0n1p2              999320    189880    740628 21%
/dev/mapper/fedora-home  184147328  22130788 152592668 13%
/dev/nvme0n1p1              262144     45572    216572 18%
tmpfs                      1618244        24   1618220  1%
tmpfs                      1618244        84   1618160  1%
